id;ten_nhan_su;dien_thoai;email;fax;dia_chi
1;Multi-channelled Licensed;grey Cambridgeshire;Jamil_Beahan68@yahoo.com;Centers;Factors
2;South Dakota envisioneer Music;Nakfa;Marjorie.Cartwright@yahoo.com;Games Regional Digitized;copy convergence
3;Mayotte;Industrial;Opal.Kirlin89@hotmail.com;Credit Card Account National Awesome;Aruba
4;software scale interactive;Louisiana Specialist Home Loan Account;Brooks.Grimes7@gmail.com;Administrator;reinvent 24 hour Jewelery
5;monitor;1080p Checking Account Identity;Betty_Volkman62@yahoo.com;archive Fantastic Plastic Chicken;payment
6;withdrawal COM;embrace Developer;Noemi.Reichert@hotmail.com;Networked Sleek Metal Table Small;Intelligent Outdoors
7;Harbor Montana;Corporate Phased relationships;Columbus.Farrell59@hotmail.com;Chilean Peso Unidades de fomento;Web virtual deposit
8;Squares mint green e-business;Ghana back-end National;Sven22@gmail.com;synergies copying;ability Hat Iraq
9;magenta Concrete;User-centric Gloves;Joshuah.Lynch36@gmail.com;Engineer;Exclusive Moroccan Dirham card
10;zero tolerance;mission-critical;Jimmy3@hotmail.com;ubiquitous;Public-key Granite
